qsp_filename,reference_number,ndid_document_control_no,title_of_reference
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A1,A-AD-121-C01/FP-000,- Staff and Writing Procedures for DND and the CF
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A2,A-AD-121-F01/JX-000,", Canadian Forces Manual of Abbreviations"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A3,A-AE-000-001/AG-E00,", Guide to the Divisional System"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A4,A-AE-219-001/AG-001,", Organization - Concept and Policy, Vol 1"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A5,A-PD-131-002/PT-001,", Leadership, Vol 2, The Professional Officer"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A6,,CFDC 105 - Seamanship Rigging and Procedure Manual
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A7,A-PD-201-000/PT-001,CF Manual of Drill and Ceremonial
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A8,A-SJ-100-001/AS-000,", National Defence Security Instructions (NDSI)"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A9,,Canadian Forces Administrative Orders (CFAO)
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A10,,"Manual of Ceremony for HMC Ships, Submarines and NRDs"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A11,,"MARCORDS, Maritime Command Orders"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A12,,NAVRESORDS
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A13,,"QR&O, Queen’s Regulations and Orders for the Canadian Forces"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A14,,Naval Engineering Manual (NEM)
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A15,,Commanding Officer Standing Orders (CSO)
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A16,,MARCOM Ships Standing Orders (SSO)
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A1,,CFCD 130 – Canadian Navigation Manual 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A2,,Ship’s Standing Orders (SSOs) – accessible via DWAN 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A3,,NPTORDs – accessible via DWAN 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A4,,DAODs – accessible via DWAN 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A5,,QR & Os 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A6,,Captain’s Standing Orders 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A7,,NAVORDS – Accessible via DWAN 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A8,,CFCD 106 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A9,,Pronotes – (available on DWAN) 3
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A10,,HMC Ship’s Navigation Data Book 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A11,,Canadian Tide and Current Table Vol 1-7 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A12,,"Atlas of Tidal Currents, Vancouver Harbour 11"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A13,,Public Harbour Regulations 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A14,,Current Atlas (Juan De Fuca Strait) 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A15,,Hydrographic Services Handbook 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A16,,Murray’s Tables 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A18,,Canadian Annual Notice to Mariners 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A19,,Chart 1 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A20,,Maritime Command Chart Register 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A21,,MARPIFs – Available on DWAN 1 B References
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B1,,"BR45(1) – Admiralty Manual of Navigation, Vol 1 – Principles of Navigation 1 B2 BR45(2) – Admiralty Manual of Navigation, Vol 2 – Astro Navigation 1 BR45(3) – Admiralty Manual of Navigation, Vol 3 – Navigation Systems, Equipment"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B3,,1 and Instruments
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B4,,"BR45(4) – Admiralty Manual of Navigation, Vol 4 – Conduct of Ships at Sea 1"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B5,,"BR45(6) – Admiralty Manual of Navigation, Vol 6 – Shiphandling 1 BR45(8) – Admiralty Manual of Navigation, Vol 8 – WECDIS, Charts and"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B6,,"1 Publications Chap, 1, provisionally approved 10 Jun 2020 Chap 2, 3 approved DD MM YYYY"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B7,,1 Techniques
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B8,,"BR 134 – Collisions, Groundings and Other Accidents 6"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B9,,"ATP 1 – Restricted Publication Extracts, Vol 1 6"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B10,,ATP 4 - Allied Naval Gunfire Support 6
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B11,,ATP 6 – Mine Warfare Principles 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B12,,ATP 16 – Replenishment at Sea 6
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B13,,ATP 28 – Allied Anti-Submarine Warfare 6
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B14,,APP 4 – Allied Maritime Message Formats 6
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B15,MTP6,– Mine Warfare Principles 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B16,MTP24,– Naval Mine Countermeasures 1
